,Reason_1,Reason_2,Reason_3,Reason_4,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
0,0,0,0,1,7,3,1,289,36,13,33,239.554,97,0,0,2,1,0,1,90,172,30,4
1,0,0,0,0,7,3,1,118,13,18,50,239.554,97,1,0,1,1,0,0,98,178,31,0
2,0,0,0,1,7,4,1,179,51,18,38,239.554,97,0,0,0,1,0,0,89,170,31,2
3,1,0,0,0,7,5,1,279,5,14,39,239.554,97,0,0,2,1,1,0,68,168,24,4
4,0,0,0,1,7,5,1,289,36,13,33,239.554,97,0,0,2,1,0,1,90,172,30,2
5,0,0,0,1,7,6,1,179,51,18,38,239.554,97,0,0,0,1,0,0,89,170,31,2
6,0,0,0,1,7,6,1,361,52,3,28,239.554,97,0,0,1,1,0,4,80,172,27,8
7,0,0,0,1,7,6,1,260,50,11,36,239.554,97,0,0,4,1,0,0,65,168,23,4
8,0,1,1,0,7,2,1,155,12,14,34,239.554,97,0,0,2,1,0,0,95,196,25,40
9,0,0,0,1,7,2,1,235,11,14,37,239.554,97,0,1,1,0,0,1,88,172,29,8
10,1,0,0,0,7,2,1,260,50,11,36,239.554,97,0,0,4,1,0,0,65,168,23,8
11,1,0,0,0,7,3,1,260,50,11,36,239.554,97,0,0,4,1,0,0,65,168,23,8
12,1,0,0,0,7,4,1,260,50,11,36,239.554,97,0,0,4,1,0,0,65,168,23,8
13,1,0,0,0,7,4,1,179,51,18,38,239.554,97,0,0,0,1,0,0,89,170,31,1
14,0,0,0,1,7,4,1,179,51,18,38,239.554,97,0,0,0,1,0,0,89,170,31,4
15,1,0,0,0,7,6,1,246,25,16,41,239.554,97,0,0,0,1,0,0,67,170,23,8
16,0,0,0,1,7,6,1,179,51,18,38,239.554,97,0,0,0,1,0,0,89,170,31,2
17,0,1,1,0,7,2,1,179,51,18,38,239.554,97,0,0,0,1,0,0,89,170,31,8
18,1,0,0,0,7,5,1,189,29,13,33,239.554,97,0,0,2,0,0,2,69,167,25,8
19,0,0,0,1,8,4,1,248,25,14,47,205.917,92,0,0,2,0,0,1,86,165,32,2
20,1,0,0,0,8,4,1,330,16,4,28,205.917,92,0,1,0,0,0,0,84,182,25,8
21,1,0,0,0,8,2,1,179,51,18,38,205.917,92,0,0,0,1,0,0,89,170,31,1
